2020. 12. 관광통계,,,,,,,,,,
,,,,,,,,,"(단위: 명, %)",
대륙,국적,12월,,,,1~12월,,,,
,,2020,2019,성장률,구성비,2020,2019,성장률,구성비,
전체 방한 외래관광객 수,,"62,344","1,456,888",-95.7 ,100.0 ,"2,519,118 ","17,502,756 ",-85.6 ,100.0 ,
전체 국민 해외관광객 수,,"80,973","2,342,310",-96.5 ,100.0 ,"4,276,006 ","28,714,247 ",-85.1 ,100.0 ,
아시아주,중국,"7,987 ","508,877 ",-98.4 ,12.8 ,"686,430 ","6,023,021 ",-88.6 ,27.2 ,
,일본,951 ,"255,356 ",-99.6 ,1.5 ,"430,742 ","3,271,706 ",-86.8 ,17.1 ,
,대만,264 ,"90,379 ",-99.7 ,0.4 ,"166,716 ","1,260,493 ",-86.8 ,6.6 ,
,홍콩,59 ,"71,751 ",-99.9 ,0.1 ,"88,878 ","694,934 ",-87.2 ,3.5 ,
,마카오,3 ,"8,342 ",-100.0 ,0.0 ,"5,905 ","52,462 ",-88.7 ,0.2 ,
,필리핀,"9,718 ","43,281 ",-77.5 ,15.6 ,"115,696 ","503,867 ",-77.0 ,4.6 ,
,인도네시아,"4,790 ","29,716 ",-83.9 ,7.7 ,"66,762 ","278,575 ",-76.0 ,2.7 ,
,태국,383 ,"55,850 ",-99.3 ,0.6 ,"76,568 ","571,610 ",-86.6 ,3.0 ,
,베트남,"1,769 ","30,721 ",-94.2 ,2.8 ,"81,939 ","553,731 ",-85.2 ,3.3 ,
,인도,"2,283 ","10,208 ",-77.6 ,3.7 ,"33,830 ","143,367 ",-76.4 ,1.3 ,
,말레이시아,261 ,"57,764 ",-99.5 ,0.4 ,"48,550 ","408,590 ",-88.1 ,1.9 ,
,싱가포르,381 ,"42,216 ",-99.1 ,0.6 ,"18,009 ","246,142 ",-92.7 ,0.7 ,
,몽골,135 ,"10,042 ",-98.7 ,0.2 ,"21,476 ","113,599 ",-81.1 ,0.9 ,
,우즈베키스탄,174 ,"5,461 ",-96.8 ,0.3 ,"15,773 ","88,276 ",-82.1 ,0.6 ,
,미얀마,"5,927 ","6,900 ",-14.1 ,9.5 ,"43,406 ","73,722 ",-41.1 ,1.7 ,
,GCC,113 ,"2,459 ",-95.4 ,0.2 ,"3,841 ","35,054 ",-89.0 ,0.2 ,
,카자흐스탄,252 ,"3,388 ",-92.6 ,0.4 ,"10,240 ","52,966 ",-80.7 ,0.4 ,
,터키,385 ,"2,505 ",-84.6 ,0.6 ,"6,560 ","31,293 ",-79.0 ,0.3 ,
,캄보디아,428 ,"3,822 ",-88.8 ,0.7 ,"10,725 ","41,734 ",-74.3 ,0.4 ,
,스리랑카,208 ,"1,313 ",-84.2 ,0.3 ,"5,070 ","18,338 ",-72.4 ,0.2 ,
,방글라데시,152 ,"1,597 ",-90.5 ,0.2 ,"4,530 ","17,952 ",-74.8 ,0.2 ,
,파키스탄,135 ,"1,159 ",-88.4 ,0.2 ,"3,603 ","13,721 ",-73.7 ,0.1 ,
,이스라엘,35 ,839 ,-95.8 ,0.1 ,"1,445 ","17,102 ",-91.6 ,0.1 ,
,이란,13 ,253 ,-94.9 ,0.0 ,565 ,"4,294 ",-86.8 ,0.0 ,
,아시아 기타,284 ,"6,468 ",-95.6 ,0.5 ,"14,101 ","73,929 ",-80.9 ,0.6 ,
,아시아주소계,"37,090","1,250,667",-97.0 ,59.5 ,"1,961,360 ","14,590,478 ",-86.6 ,77.9 ,
미주,미국,"12,102 ","77,387 ",-84.4 ,19.4 ,"220,417 ","1,044,038 ",-78.9 ,8.7 ,
,캐나다,"1,444 ","15,292 ",-90.6 ,2.3 ,"34,734 ","205,408 ",-83.1 ,1.4 ,
,브라질,104 ,"1,933 ",-94.6 ,0.2 ,"3,954 ","23,788 ",-83.4 ,0.2 ,
,멕시코,318 ,"2,382 ",-86.6 ,0.5 ,"5,726 ","30,481 ",-81.2 ,0.2 ,
,미주 기타,114 ,"2,490 ",-95.4 ,0.2 ,"6,656 ","41,943 ",-84.1 ,0.3 ,
,미주소계,"14,082","99,484",-85.8 ,22.6 ,"271,487 ","1,345,658 ",-79.8 ,10.8 ,
구주,러시아,"1,962 ","26,570 ",-92.6 ,3.1 ,"73,086 ","343,057 ",-78.7 ,2.9 ,
,영국,554 ,"8,735 ",-93.7 ,0.9 ,"20,419 ","143,676 ",-85.8 ,0.8 ,
,독일,"1,111 ","7,304 ",-84.8 ,1.8 ,"24,128 ","120,730 ",-80.0 ,1.0 ,
,프랑스,898 ,"6,752 ",-86.7 ,1.4 ,"19,371 ","110,794 ",-82.5 ,0.8 ,
,이탈리아,161 ,"3,084 ",-94.8 ,0.3 ,"6,455 ","49,344 ",-86.9 ,0.3 ,
,네덜란드,"1,115 ","2,459 ",-54.7 ,1.8 ,"12,521 ","39,138 ",-68.0 ,0.5 ,
,우크라이나,"1,002 ","2,180 ",-54.0 ,1.6 ,"11,568 ","27,667 ",-58.2 ,0.5 ,
