2020. 5. 관광통계,,,,,,,,,,
,,,,,,,,,"(단위: 명, %)",
대륙,국적,5월,,,,1~5월,,,,
,,2020,2019,성장률,구성비,2020,2019,성장률,구성비,
전체 방한 외래관광객 수,,"30,806","1,485,684",-97.9 ,100.0 ,"2,101,638 ","6,962,996 ",-69.8 ,100.0 ,
전체 국민 해외관광객 수,,"37,802","2,401,204",-98.4 ,100.0 ,"3,772,402 ","12,512,051 ",-69.8 ,100.0 ,
아시아주,중국,"5,124 ","500,413 ",-99.0 ,16.6 ,"611,421 ","2,327,479 ",-73.7 ,29.1 ,
,일본,413 ,"286,273 ",-99.9 ,1.3 ,"424,288 ","1,371,210 ",-69.1 ,20.2 ,
,대만,189 ,"101,779 ",-99.8 ,0.6 ,"164,325 ","495,874 ",-66.9 ,7.8 ,
,홍콩,24 ,"57,026 ",-100.0 ,0.1 ,"88,249 ","266,406 ",-66.9 ,4.2 ,
,마카오,1 ,"2,909 ",-100.0 ,0.0 ,"5,868 ","16,804 ",-65.1 ,0.3 ,
,필리핀,"1,539 ","50,569 ",-97.0 ,5.0 ,"58,242 ","215,562 ",-73.0 ,2.8 ,
,인도네시아,"1,752 ","18,936 ",-90.7 ,5.7 ,"42,619 ","112,946 ",-62.3 ,2.0 ,
,태국,195 ,"52,660 ",-99.6 ,0.6 ,"73,108 ","256,040 ",-71.4 ,3.5 ,
,베트남,"1,381 ","44,416 ",-96.9 ,4.5 ,"72,571 ","216,940 ",-66.5 ,3.5 ,
,인도,415 ,"13,858 ",-97.0 ,1.3 ,"17,300 ","54,417 ",-68.2 ,0.8 ,
,말레이시아,90 ,"31,217 ",-99.7 ,0.3 ,"47,222 ","165,281 ",-71.4 ,2.2 ,
,싱가포르,49 ,"20,114 ",-99.8 ,0.2 ,"16,963 ","85,173 ",-80.1 ,0.8 ,
,몽골,78 ,"8,014 ",-99.0 ,0.3 ,"20,090 ","43,281 ",-53.6 ,1.0 ,
,우즈베키스탄,10 ,"6,839 ",-99.9 ,0.0 ,"13,822 ","35,525 ",-61.1 ,0.7 ,
,미얀마,701 ,"6,556 ",-89.3 ,2.3 ,"13,956 ","31,505 ",-55.7 ,0.7 ,
,GCC,15 ,930 ,-98.4 ,0.0 ,"3,064 ","10,470 ",-70.7 ,0.1 ,
,카자흐스탄,26 ,"4,585 ",-99.4 ,0.1 ,"8,137 ","21,466 ",-62.1 ,0.4 ,
,터키,26 ,"2,492 ",-99.0 ,0.1 ,"4,286 ","11,400 ",-62.4 ,0.2 ,
,캄보디아,358 ,"4,236 ",-91.5 ,1.2 ,"8,913 ","18,472 ",-51.7 ,0.4 ,
,스리랑카,442 ,"1,538 ",-71.3 ,1.4 ,"3,531 ","7,313 ",-51.7 ,0.2 ,
,방글라데시,172 ,"1,225 ",-86.0 ,0.6 ,"3,044 ","7,150 ",-57.4 ,0.1 ,
,파키스탄,215 ,854 ,-74.8 ,0.7 ,"2,807 ","5,825 ",-51.8 ,0.1 ,
,이스라엘,4 ,"1,409 ",-99.7 ,0.0 ,"1,248 ","6,809 ",-81.7 ,0.1 ,
,이란,8 ,271 ,-97.0 ,0.0 ,391 ,"1,464 ",-73.3 ,0.0 ,
